id_venda,data_venda,loja,categoria_produto,produto,quantidade,preco_unitario,valor_total,vendedor,forma_pagamento,cidade,uf
HAV000018,2024-03-07,Havan Brusque,Vestuário,Camiseta Polo,2,258.55,517.1,Fernanda Lima,Cartão de débito,Brusque,SC
HAV000019,2025-05-05,Havan Itajaí,Vestuário,Camiseta Polo,2,428.34,856.68,Fernanda Lima,Cartão de débito,Itajaí,SC
HAV000020,2024-07-28,Havan Florianópolis,Móveis,Estante Decorativa,4,4518.68,18074.72,Mariana Costa,Cartão de crédito,Florianópolis,SC
HAV000021,2025-03-19,Havan Londrina,"Cama, Mesa e Banho",Edredom Casal,1,372.31,372.31,Patrícia Santos,PIX,Londrina,PR
HAV000022,2025-09-24,Havan Londrina,Brinquedos,Lego Star Wars,4,175.14,700.56,Rodrigo Alves,Cartão de crédito,Londrina,PR
HAV000023,2025-02-04,Havan Blumenau,Brinquedos,Boneca Barbie,1,211.59,211.59,Fernanda Lima,Cartão de crédito,Blumenau,SC
HAV000024,2024-12-31,Havan Itajaí,Vestuário,Calça Jeans,1,352.1,352.1,Patrícia Santos,Cartão de crédito,Itajaí,SC
HAV000025,2025-08-21,Havan Curitiba,"Cama, Mesa e Banho",Edredom Casal,2,107.68,215.36,Patrícia Santos,Cartão de crédito,Curitiba,SC
HAV000026,2025-03-11,Havan Londrina,Móveis,Sofá 3 Lugares,3,296.87,890.61,Mariana Costa,Cartão de crédito,Londrina,PR
HAV000027,2025-03-26,Havan Curitiba,Utilidades Domésticas,Conjunto de Panelas Tramontina,2,258.31,516.62,Lucas Oliveira,PIX,Curitiba,SC
HAV000028,2024-06-16,Havan Londrina,Utilidades Domésticas,Tábua de Corte,2,453.13,906.26,Fernanda Lima,PIX,Londrina,PR
HAV000029,2025-02-18,Havan Florianópolis,Eletrodomésticos,Cafeteira Nespresso,2,4283.56,8567.12,Patrícia Santos,Cartão de débito,Florianópolis,SC
HAV000030,2025-08-18,Havan Joinville,Móveis,Sofá 3 Lugares,4,3645.32,14581.28,Fernanda Lima,Cartão de débito,Joinville,SC
HAV000031,2025-03-03,Havan Blumenau,Eletrônicos,"Smart TV 50""",1,3801.22,3801.22,Carlos Souza,Cartão de crédito,Blumenau,SC
HAV000032,2025-10-13,Havan Itajaí,"Cama, Mesa e Banho",Cortina Blackout,2,376.23,752.46,Ana Silva,Cartão de crédito,Itajaí,SC
HAV000033,2024-09-26,Havan Balneário Camboriú,Eletrônicos,Notebook Lenovo,3,900.43,2701.29,Patrícia Santos,Cartão de crédito,Balneário Camboriú,SC
HAV000034,2025-09-12,Havan Balneário Camboriú,Utilidades Domésticas,Conjunto de Panelas Tramontina,1,184.95,184.95,Lucas Oliveira,PIX,Balneário Camboriú,SC
HAV000035,2024-01-23,Havan Florianópolis,Brinquedos,Quebra-cabeça 1000 peças,2,234.87,469.74,João Mendes,Cartão de crédito,Florianópolis,SC
HAV000036,2025-11-10,Havan Itajaí,"Cama, Mesa e Banho",Edredom Casal,1,193.73,193.73,Lucas Oliveira,Dinheiro,Itajaí,SC
HAV000037,2025-04-17,Havan Blumenau,Móveis,Estante Decorativa,1,4182.8,4182.8,Fernanda Lima,PIX,Blumenau,SC
HAV000038,2024-06-16,Havan Brusque,Vestuário,Camiseta Polo,3,419.5,1258.5,Patrícia Santos,Cartão de crédito,Brusque,SC
HAV000039,2025-08-15,Havan Blumenau,Brinquedos,Boneca Barbie,1,181.76,181.76,Patrícia Santos,PIX,Blumenau,SC
HAV000040,2024-03-01,Havan Joinville,"Cama, Mesa e Banho",Edredom Casal,2,206.34,412.68,Ana Silva,PIX,Joinville,SC
HAV000041,2025-04-24,Havan Balneário Camboriú,Brinquedos,Boneca Barbie,4,311.05,1244.2,Rodrigo Alves,Dinheiro,Balneário Camboriú,SC
HAV000042,2024-01-23,Havan Blumenau,Móveis,Mesa de Jantar 6 lugares,1,3828.55,3828.55,Fernanda Lima,Cartão de crédito,Blumenau,SC
HAV000043,2024-01-17,Havan Londrina,Utilidades Domésticas,Aparelho de Jantar,1,411.67,411.67,Ana Silva,PIX,Londrina,SC
HAV000044,2024-06-30,Havan Joinville,"Cama, Mesa e Banho",Jogo de Lençol Queen,2,232.96,465.92,Fernanda Lima,Cartão de crédito,Joinville,SC
HAV000045,2024-10-16,Havan Brusque,Informática,HD Externo 1TB,2,1075.16,2150.32,Rodrigo Alves,Cartão de crédito,Brusque,SC
HAV000046,2024-02-10,Havan Joinville,Eletrodomésticos,Geladeira Brastemp,1,1068.79,1068.79,Rodrigo Alves,Cartão de crédito,Joinville,SC
HAV000047,2025-07-27,Havan Florianópolis,Vestuário,Camiseta Polo,1,354.26,354.26,Carlos Souza,Cartão de crédito,Florianópolis,SC
HAV000048,2025-07-15,Havan Brusque,Brinquedos,Boneca Barbie,1,142.59,142.59,Ana Silva,Cartão de crédito,Brusque,SC
HAV000049,2024-12-21,Havan Londrina,Utilidades Domésticas,Tábua de Corte,1,411.42,411.42,Lucas Oliveira,Cartão de débito,Londrina,PR
HAV000050,2024-03-31,Havan Blumenau,"Cama, Mesa e Banho",Toalha de Banho,1,356.67,356.67,João Mendes,PIX,Blumenau,SC
HAV000051,2024-09-18,Havan Itajaí,Utilidades Domésticas,Aparelho de Jantar,2,453.54,907.08,Patrícia Santos,PIX,Itajaí,SC
HAV000052,2025-07-28,Havan Joinville,Vestuário,Camiseta Polo,4,222.74,890.96,Carlos Souza,Cartão de débito,Joinville,SC
HAV000053,2024-11-27,Havan Florianópolis,"Cama, Mesa e Banho",Travesseiro Nasa,2,104.79,209.58,Carlos Souza,PIX,Florianópolis,SC
HAV000054,2024-09-10,Havan Blumenau,Utilidades Domésticas,Chaleira Inox,4,468.14,1872.56,João Mendes,Cartão de crédito,Blumenau,SC
HAV000055,2024-07-29,Havan Florianópolis,Utilidades Domésticas,Aparelho de Jantar,4,305.06,1220.24,Mariana Costa,PIX,Florianópolis,SC
HAV000056,2024-05-24,Havan Itajaí,Eletrônicos,"Smart TV 50""",1,203.33,203.33,Patrícia Santos,Cartão de crédito,Itajaí,SC
HAV000057,2024-03-20,Havan Brusque,Eletrônicos,"Smart TV 50""",3,3416.04,10248.12,Rodrigo Alves,PIX,Brusque,SC
HAV000058,2024-11-11,Havan Itajaí,"Cama, Mesa e Banho",Cortina Blackout,1,299.27,299.27,Fernanda Lima,Dinheiro,Itajaí,SC
HAV000059,2025-08-15,Havan Joinville,Informática,HD Externo 1TB,2,395.28,790.56,Ana Silva,Cartão de crédito,Joinville,SC
HAV000060,2024-11-05,Havan Joinville,Brinquedos,Jogo de Tabuleiro,2,131.8,263.6,Patrícia Santos,Cartão de crédito,Joinville,SC
HAV000061,2024-08-18,Havan Florianópolis,Vestuário,Tênis Nike,1,53.23,53.23,Carlos Souza,Cartão de crédito,Florianópolis,SC
HAV000062,2025-02-04,Havan Itajaí,Móveis,Estante Decorativa,3,4500.0,13500.0,Patrícia Santos,Dinheiro,Itajaí,SC
HAV000063,2024-05-28,Havan Joinville,Vestuário,Camiseta Polo,1,314.24,314.24,Mariana Costa,Cartão de débito,Joinville,SC
HAV000064,2024-02-02,Havan Curitiba,Móveis,Sofá 3 Lugares,1,2006.31,2006.31,Fernanda Lima,Cartão de crédito,Curitiba,SC
HAV000065,2025-05-28,Havan Londrina,Vestuário,Tênis Nike,1,35.25,35.25,Carlos Souza,PIX,Londrina,PR
HAV000066,2025-05-14,Havan Itajaí,Informática,"Monitor 24""",1,2871.94,2871.94,Rodrigo Alves,Cartão de crédito,Itajaí,SC
HAV000067,2025-01-25,Havan Florianópolis,Móveis,Mesa de Jantar 6 lugares,1,671.35,671.35,Patrícia Santos,PIX,Florianópolis,SC
HAV000068,2025-03-05,Havan Joinville,Utilidades Domésticas,Jogo de Copos,1,55.38,55.38,Patrícia Santos,Cartão de crédito,Joinville,SC
HAV000069,2024-08-16,Havan Joinville,Informática,"Monitor 24""",1,845.77,845.77,Rodrigo Alves,Cartão de débito,Joinville,SC
HAV000070,2024-10-10,Havan Balneário Camboriú,Informática,HD Externo 1TB,4,2490.6,9962.4,Patrícia Santos,Cartão de crédito,Balneário Camboriú,SC
HAV000071,2025-08-29,Havan Itajaí,Eletrônicos,Notebook Lenovo,2,4705.13,9410.26,Fernanda Lima,Cartão de crédito,Itajaí,SC
HAV000072,2025-05-27,Havan Florianópolis,Móveis,Mesa de Jantar 6 lugares,2,463.45,926.9,Rodrigo Alves,Cartão de crédito,Florianópolis,SC
HAV000073,2024-09-12,Havan Itajaí,"Cama, Mesa e Banho",Jogo de Lençol Queen,2,428.24,856.48,Ana Silva,Cartão de débito,Itajaí,SC
HAV000074,2025-03-08,Havan Joinville,Informática,Teclado Mecânico,2,2581.83,5163.66,Patrícia Santos,PIX,Joinville,SC
HAV000075,2024-04-28,Havan Balneário Camboriú,Móveis,Cadeira Gamer,2,2097.41,4194.82,Fernanda Lima,Cartão de débito,Balneário Camboriú,SC
HAV000076,2024-10-05,Havan Blumenau,Brinquedos,Carrinho Hot Wheels,3,251.63,754.89,Lucas Oliveira,Cartão de crédito,Blumenau,SC
HAV000077,2024-11-09,Havan Blumenau,Móveis,Sofá 3 Lugares,3,3368.38,10105.14,Ana Silva,PIX,Blumenau,SC
HAV000078,2025-05-20,Havan Curitiba,Eletrônicos,Caixa de Som Alexa,2,3454.1,6908.2,Mariana Costa,PIX,Curitiba,SC
HAV000079,2025-06-15,Havan Brusque,Informática,Mouse Logitech,2,1854.01,3708.02,Patrícia Santos,PIX,Brusque,SC
HAV000080,2025-03-28,Havan Florianópolis,Brinquedos,Quebra-cabeça 1000 peças,3,35.98,107.94,Carlos Souza,Cartão de crédito,Florianópolis,SC
HAV000081,2024-06-03,Havan Balneário Camboriú,Móveis,Sofá 3 Lugares,1,4323.89,4323.89,Lucas Oliveira,Cartão de crédito,Balneário Camboriú,SC
HAV000082,2024-11-03,Havan Curitiba,Vestuário,Tênis Nike,3,76.43,229.29,Ana Silva,Cartão de crédito,Curitiba,PR
HAV000083,2024-05-12,Havan Balneário Camboriú,Utilidades Domésticas,Tábua de Corte,2,451.9,903.8,Ana Silva,PIX,Balneário Camboriú,SC
HAV000084,2025-04-13,Havan Florianópolis,Eletrodomésticos,Geladeira Brastemp,2,3480.33,6960.66,Lucas Oliveira,Cartão de crédito,Florianópolis,SC
HAV000085,2024-06-27,Havan Balneário Camboriú,Eletrônicos,Fone Bluetooth JBL,1,4908.35,4908.35,Mariana Costa,Dinheiro,Balneário Camboriú,SC
HAV000086,2024-01-19,Havan Itajaí,Utilidades Domésticas,Chaleira Inox,4,490.38,1961.52,João Mendes,Cartão de crédito,Itajaí,SC
HAV000087,2025-10-30,Havan Blumenau,Informática,"Monitor 24""",1,1543.6,1543.6,Lucas Oliveira,Cartão de débito,Blumenau,SC
HAV000088,2024-05-27,Havan Itajaí,Brinquedos,Boneca Barbie,1,224.31,224.31,Fernanda Lima,PIX,Itajaí,SC
HAV000089,2024-08-10,Havan Blumenau,"Cama, Mesa e Banho",Edredom Casal,4,482.62,1930.48,Carlos Souza,Cartão de débito,Blumenau,SC
HAV000090,2024-12-27,Havan Itajaí,Eletrônicos,Fone Bluetooth JBL,4,1799.8,7199.2,João Mendes,Cartão de crédito,Itajaí,SC
HAV000091,2025-05-06,Havan Joinville,"Cama, Mesa e Banho",Toalha de Banho,1,157.68,157.68,Patrícia Santos,Cartão de crédito,Joinville,SC
HAV000092,2024-12-16,Havan Balneário Camboriú,Informática,"Monitor 24""",1,2587.47,2587.47,Carlos Souza,Cartão de crédito,Balneário Camboriú,SC
HAV000093,2024-11-13,Havan Florianópolis,Brinquedos,Quebra-cabeça 1000 peças,4,134.45,537.8,Ana Silva,Cartão de crédito,Florianópolis,SC
HAV000094,2025-05-24,Havan Londrina,Utilidades Domésticas,Conjunto de Panelas Tramontina,2,386.23,772.46,Ana Silva,Dinheiro,Londrina,PR
HAV000095,2025-05-05,Havan Londrina,Utilidades Domésticas,Aparelho de Jantar,3,358.07,1074.21,Carlos Souza,Cartão de crédito,Londrina,SC
HAV000096,2024-10-07,Havan Itajaí,"Cama, Mesa e Banho",Toalha de Banho,1,330.1,330.1,Patrícia Santos,Cartão de crédito,Itajaí,SC
HAV000097,2024-06-06,Havan Balneário Camboriú,"Cama, Mesa e Banho",Travesseiro Nasa,2,276.09,552.18,Ana Silva,Dinheiro,Balneário Camboriú,SC
HAV000098,2025-04-11,Havan Balneário Camboriú,Eletrodomésticos,Liquidificador Philips,3,3102.04,9306.12,João Mendes,Cartão de crédito,Balneário Camboriú,SC
HAV000099,2025-01-28,Havan Joinville,"Cama, Mesa e Banho",Edredom Casal,2,468.54,937.08,Mariana Costa,PIX,Joinville,SC
HAV000100,2024-03-31,Havan Itajaí,Vestuário,Calça Jeans,1,167.28,167.28,Carlos Souza,Cartão de crédito,Itajaí,SC
HAV000101,2024-05-03,Havan Joinville,"Cama, Mesa e Banho",Jogo de Lençol Queen,2,398.63,797.26,Rodrigo Alves,PIX,Joinville,SC
HAV000102,2025-06-27,Havan Curitiba,"Cama, Mesa e Banho",Cortina Blackout,1,236.29,236.29,Rodrigo Alves,Cartão de débito,Curitiba,SC
HAV000103,2024-03-06,Havan Joinville,"Cama, Mesa e Banho",Cortina Blackout,2,447.08,894.16,Lucas Oliveira,Cartão de crédito,Joinville,SC
HAV000104,2025-02-14,Havan Balneário Camboriú,Eletrodomésticos,Aspirador Mondial,1,2946.25,2946.25,Fernanda Lima,PIX,Balneário Camboriú,SC
HAV000105,2025-11-09,Havan Balneário Camboriú,"Cama, Mesa e Banho",Travesseiro Nasa,1,488.63,488.63,Patrícia Santos,Cartão de crédito,Balneário Camboriú,SC
HAV000106,2024-09-14,Havan Curitiba,Eletrodomésticos,Liquidificador Philips,1,790.71,790.71,João Mendes,Cartão de débito,Curitiba,PR
HAV000107,2024-06-05,Havan Blumenau,Vestuário,Camiseta Polo,1,473.25,473.25,Rodrigo Alves,Cartão de crédito,Blumenau,SC
HAV000108,2025-11-07,Havan Brusque,Vestuário,Tênis Nike,2,440.65,881.3,Carlos Souza,Cartão de débito,Brusque,SC
HAV000109,2024-03-13,Havan Blumenau,Vestuário,Tênis Nike,3,294.83,884.49,Mariana Costa,Cartão de crédito,Blumenau,SC
HAV000110,2025-04-25,Havan Balneário Camboriú,Vestuário,Blusa Feminina,1,395.17,395.17,Rodrigo Alves,PIX,Balneário Camboriú,SC
HAV000111,2025-01-06,Havan Curitiba,Brinquedos,Boneca Barbie,4,336.89,1347.56,Patrícia Santos,PIX,Curitiba,PR
HAV000112,2024-11-22,Havan Joinville,Eletrônicos,Fone Bluetooth JBL,4,860.84,3443.36,Lucas Oliveira,Cartão de crédito,Joinville,SC
HAV000113,2025-02-03,Havan Blumenau,Utilidades Domésticas,Jogo de Copos,4,101.88,407.52,Mariana Costa,Cartão de crédito,Blumenau,SC
HAV000114,2025-08-26,Havan Brusque,Eletrodomésticos,Geladeira Brastemp,2,439.14,878.28,João Mendes,Dinheiro,Brusque,SC
HAV000115,2024-06-30,Havan Brusque,Vestuário,Tênis Nike,2,66.77,133.54,Ana Silva,PIX,Brusque,SC
HAV000116,2025-08-24,Havan Londrina,Eletrodomésticos,Micro-ondas Electrolux,1,4615.35,4615.35,Ana Silva,Cartão de crédito,Londrina,PR
HAV000117,2025-04-05,Havan Balneário Camboriú,Eletrodomésticos,Micro-ondas Electrolux,1,909.2,909.2,Mariana Costa,Dinheiro,Balneário Camboriú,SC
HAV000118,2024-11-16,Havan Balneário Camboriú,Brinquedos,Boneca Barbie,1,353.13,353.13,Lucas Oliveira,Cartão de crédito,Balneário Camboriú,SC
HAV000119,2025-01-22,Havan Itajaí,Brinquedos,Boneca Barbie,2,354.43,708.86,Lucas Oliveira,PIX,Itajaí,SC
HAV000120,2025-02-26,Havan Brusque,Vestuário,Jaqueta Corta Vento,1,91.79,91.79,Patrícia Santos,PIX,Brusque,SC
HAV000121,2025-02-04,Havan Blumenau,Utilidades Domésticas,Tábua de Corte,2,119.99,239.98,João Mendes,Cartão de crédito,Blumenau,SC
HAV000122,2024-10-28,Havan Florianópolis,Informática,Impressora HP,4,1472.62,5890.48,Carlos Souza,Cartão de crédito,Florianópolis,SC
HAV000123,2024-04-01,Havan Florianópolis,Brinquedos,Jogo de Tabuleiro,1,167.7,167.7,Ana Silva,PIX,Florianópolis,SC
HAV000124,2025-07-07,Havan Curitiba,Informática,Impressora HP,1,2457.81,2457.81,Fernanda Lima,Cartão de crédito,Curitiba,PR
HAV000125,2024-12-14,Havan Blumenau,Eletrodomésticos,Geladeira Brastemp,4,484.58,1938.32,Lucas Oliveira,Cartão de crédito,Blumenau,SC
HAV000126,2025-03-10,Havan Brusque,Eletrônicos,"Smart TV 50""",4,1491.18,5964.72,Ana Silva,Dinheiro,Brusque,SC
HAV000127,2024-02-28,Havan Balneário Camboriú,Móveis,Mesa de Jantar 6 lugares,4,4759.85,19039.4,Fernanda Lima,Cartão de crédito,Balneário Camboriú,SC
HAV000128,2025-06-09,Havan Florianópolis,"Cama, Mesa e Banho",Edredom Casal,2,223.37,446.74,João Mendes,PIX,Florianópolis,SC
HAV000129,2024-11-12,Havan Londrina,Eletrodomésticos,Cafeteira Nespresso,2,987.12,1974.24,Ana Silva,Dinheiro,Londrina,PR
HAV000130,2025-02-24,Havan Blumenau,Eletrônicos,Tablet Samsung,1,4162.21,4162.21,João Mendes,Cartão de débito,Blumenau,SC
HAV000131,2025-10-09,Havan Joinville,Móveis,Mesa de Jantar 6 lugares,1,2127.33,2127.33,Lucas Oliveira,Cartão de crédito,Joinville,SC
HAV000132,2025-04-22,Havan Florianópolis,Eletrodomésticos,Liquidificador Philips,3,251.18,753.54,Rodrigo Alves,Cartão de crédito,Florianópolis,SC
HAV000133,2024-06-28,Havan Florianópolis,Utilidades Domésticas,Jogo de Copos,3,220.45,661.35,Mariana Costa,Cartão de crédito,Florianópolis,SC
HAV000134,2025-09-16,Havan Curitiba,"Cama, Mesa e Banho",Travesseiro Nasa,1,101.7,101.7,Rodrigo Alves,PIX,Curitiba,SC
HAV000135,2024-06-26,Havan Blumenau,Eletrodomésticos,Liquidificador Philips,4,4344.94,17379.76,Rodrigo Alves,Cartão de crédito,Blumenau,SC
HAV000136,2024-06-09,Havan Joinville,Brinquedos,Quebra-cabeça 1000 peças,1,238.68,238.68,Fernanda Lima,Cartão de débito,Joinville,SC
HAV000137,2024-09-09,Havan Blumenau,"Cama, Mesa e Banho",Toalha de Banho,1,287.11,287.11,Ana Silva,Cartão de crédito,Blumenau,SC
HAV000138,2024-01-29,Havan Londrina,Informática,HD Externo 1TB,2,2699.22,5398.44,Carlos Souza,Cartão de débito,Londrina,PR
HAV000139,2025-09-01,Havan Blumenau,Utilidades Domésticas,Jogo de Copos,1,188.59,188.59,Lucas Oliveira,Cartão de crédito,Blumenau,SC
HAV000140,2024-01-01,Havan Blumenau,Utilidades Domésticas,Jogo de Copos,2,244.03,488.06,Mariana Costa,PIX,Blumenau,SC
HAV000141,2025-11-01,Havan Joinville,Brinquedos,Carrinho Hot Wheels,1,56.46,56.46,Rodrigo Alves,PIX,Joinville,SC
HAV000142,2024-04-12,Havan Joinville,Móveis,Mesa de Jantar 6 lugares,1,1985.12,1985.12,Rodrigo Alves,PIX,Joinville,SC
HAV000143,2025-08-09,Havan Itajaí,Informática,HD Externo 1TB,3,1114.33,3342.99,Mariana Costa,PIX,Itajaí,SC
HAV000144,2025-08-04,Havan Joinville,"Cama, Mesa e Banho",Cortina Blackout,2,415.68,831.36,Carlos Souza,Cartão de crédito,Joinville,SC
HAV000145,2024-06-22,Havan Itajaí,Informática,"Monitor 24""",1,209.31,209.31,João Mendes,PIX,Itajaí,SC
HAV000146,2025-06-04,Havan Itajaí,Eletrodomésticos,Aspirador Mondial,3,4990.83,14972.49,Carlos Souza,Cartão de crédito,Itajaí,SC
HAV000147,2025-05-24,Havan Blumenau,Eletrônicos,Fone Bluetooth JBL,3,4856.68,14570.04,Patrícia Santos,PIX,Blumenau,SC
HAV000148,2024-01-09,Havan Balneário Camboriú,Vestuário,Camiseta Polo,3,231.1,693.3,Patrícia Santos,PIX,Balneário Camboriú,SC
HAV000149,2025-11-10,Havan Itajaí,"Cama, Mesa e Banho",Travesseiro Nasa,1,260.15,260.15,Rodrigo Alves,Cartão de débito,Itajaí,SC
HAV000150,2024-09-17,Havan Curitiba,Brinquedos,Lego Star Wars,4,276.8,1107.2,Lucas Oliveira,Cartão de débito,Curitiba,SC
HAV000151,2025-10-10,Havan Joinville,Eletrônicos,Notebook Lenovo,1,294.96,294.96,Mariana Costa,Dinheiro,Joinville,SC
HAV000152,2024-09-27,Havan Brusque,"Cama, Mesa e Banho",Jogo de Lençol Queen,1,425.42,425.42,Carlos Souza,Cartão de crédito,Brusque,SC
HAV000153,2025-09-16,Havan Londrina,Brinquedos,Carrinho Hot Wheels,4,392.7,1570.8,Lucas Oliveira,Cartão de crédito,Londrina,SC
HAV000154,2025-06-17,Havan Brusque,Móveis,Estante Decorativa,2,1382.23,2764.46,Patrícia Santos,Dinheiro,Brusque,SC
HAV000155,2025-04-26,Havan Joinville,Informática,Impressora HP,2,830.46,1660.92,Fernanda Lima,Cartão de crédito,Joinville,SC
HAV000156,2025-01-06,Havan Florianópolis,Eletrônicos,Notebook Lenovo,2,1323.09,2646.18,Patrícia Santos,Cartão de crédito,Florianópolis,SC
HAV000157,2024-07-24,Havan Florianópolis,Móveis,Mesa de Jantar 6 lugares,1,3610.75,3610.75,Ana Silva,PIX,Florianópolis,SC
HAV000158,2025-11-02,Havan Brusque,"Cama, Mesa e Banho",Edredom Casal,2,156.39,312.78,Fernanda Lima,PIX,Brusque,SC
HAV000159,2025-02-23,Havan Balneário Camboriú,Eletrônicos,Caixa de Som Alexa,3,411.25,1233.75,Carlos Souza,Cartão de crédito,Balneário Camboriú,SC
HAV000160,2025-06-29,Havan Joinville,Informática,HD Externo 1TB,4,2987.12,11948.48,Ana Silva,PIX,Joinville,SC
HAV000161,2024-05-27,Havan Brusque,Informática,Mouse Logitech,1,684.87,684.87,Mariana Costa,Cartão de crédito,Brusque,SC
HAV000162,2024-08-26,Havan Brusque,Vestuário,Jaqueta Corta Vento,2,378.44,756.88,Patrícia Santos,Cartão de crédito,Brusque,SC
HAV000163,2025-01-01,Havan Joinville,Eletrônicos,"Smart TV 50""",2,3465.0,6930.0,Fernanda Lima,PIX,Joinville,SC
HAV000164,2025-02-22,Havan Joinville,Móveis,Mesa de Jantar 6 lugares,1,3013.9,3013.9,Lucas Oliveira,Cartão de crédito,Joinville,SC
HAV000165,2024-06-12,Havan Brusque,Eletrônicos,"Smart TV 50""",1,1491.94,1491.94,Mariana Costa,Cartão de crédito,Brusque,SC
HAV000166,2024-02-18,Havan Curitiba,Eletrônicos,Caixa de Som Alexa,4,2999.08,11996.32,Ana Silva,PIX,Curitiba,PR
HAV000167,2025-03-31,Havan Joinville,Eletrodomésticos,Cafeteira Nespresso,3,1370.11,4110.33,Fernanda Lima,Cartão de crédito,Joinville,SC
HAV000168,2024-09-05,Havan Itajaí,Móveis,Sofá 3 Lugares,3,376.85,1130.55,Fernanda Lima,Cartão de crédito,Itajaí,SC
HAV000169,2024-04-29,Havan Londrina,Móveis,Sofá 3 Lugares,4,2524.5,10098.0,Lucas Oliveira,Cartão de crédito,Londrina,SC
HAV000170,2024-12-19,Havan Londrina,Utilidades Domésticas,Tábua de Corte,3,395.6,1186.8,Rodrigo Alves,PIX,Londrina,SC
HAV000171,2024-02-15,Havan Joinville,Eletrônicos,Tablet Samsung,1,2821.08,2821.08,Ana Silva,Cartão de débito,Joinville,SC
HAV000172,2024-10-11,Havan Curitiba,Eletrodomésticos,Aspirador Mondial,2,1059.78,2119.56,Rodrigo Alves,PIX,Curitiba,SC
HAV000173,2024-01-07,Havan Joinville,Vestuário,Tênis Nike,1,248.84,248.84,Patrícia Santos,Dinheiro,Joinville,SC
HAV000174,2024-06-23,Havan Florianópolis,Eletrônicos,Notebook Lenovo,1,650.91,650.91,Fernanda Lima,Cartão de crédito,Florianópolis,SC
HAV000175,2025-01-31,Havan Blumenau,Brinquedos,Quebra-cabeça 1000 peças,1,234.13,234.13,Patrícia Santos,Cartão de débito,Blumenau,SC
HAV000176,2025-06-04,Havan Joinville,Vestuário,Blusa Feminina,1,394.76,394.76,Patrícia Santos,Cartão de débito,Joinville,SC
HAV000177,2024-05-12,Havan Joinville,"Cama, Mesa e Banho",Cortina Blackout,2,436.06,872.12,Ana Silva,PIX,Joinville,SC
HAV000178,2025-07-20,Havan Curitiba,Móveis,Guarda-roupa 6 portas,3,1310.76,3932.28,Carlos Souza,PIX,Curitiba,PR
HAV000179,2025-03-24,Havan Itajaí,Móveis,Cadeira Gamer,1,768.75,768.75,Lucas Oliveira,PIX,Itajaí,SC
HAV000180,2025-05-27,Havan Itajaí,"Cama, Mesa e Banho",Jogo de Lençol Queen,1,57.11,57.11,Rodrigo Alves,Cartão de crédito,Itajaí,SC
